Weight budget, Fraction width, Average LL, Accuracy
400, 4, -509.1434234623783, 0.6728132387706856
400, 5, -508.58567830670614, 0.7063829787234043
410, 1, -512.6043819619064, 0.9328605200945627
410, 2, -509.96968737192316, 0.909692671394799
410, 3, -509.4145242589781, 0.9063829787234042
410, 4, -509.1415268026327, 0.6614657210401891
410, 5, -508.58567830670614, 0.7063829787234043
420, 1, -512.6043819619064, 0.9328605200945627
420, 2, -509.96968737192316, 0.909692671394799
420, 3, -509.4145242589781, 0.9063829787234042
420, 4, -509.1415268026327, 0.6614657210401891
420, 5, -508.58567830670614, 0.7063829787234043
430, 1, -512.6043819619064, 0.9328605200945627
430, 2, -509.96968737192316, 0.909692671394799
430, 3, -509.4145242589781, 0.9063829787234042
430, 4, -509.1415268026327, 0.6614657210401891
430, 5, -508.58567830670614, 0.7063829787234043
440, 1, -512.6043819619064, 0.9328605200945627
440, 2, -509.96968737192316, 0.909692671394799
440, 3, -509.4145242589781, 0.9063829787234042
440, 4, -509.1415268026327, 0.6614657210401891
440, 5, -508.58567830670614, 0.7063829787234043
450, 1, -512.6043819619064, 0.9328605200945627
450, 2, -509.96968737192316, 0.909692671394799
450, 3, -509.4145242589781, 0.9063829787234042
450, 4, -509.1415268026327, 0.6614657210401891
450, 5, -508.58567830670614, 0.7063829787234043
